PROVINCIA,aab,SUPERFICIE,DESEMPLEO,PRECIPIT,VE TO,VE MO,POP,MOTOR,CONDUCTORES_MASC,CONDUCTORES_FEM,CONDUCTORES_TOT,ING_CIVIL_ÍNDICE,PIB_CAP,IPC,MUERTOS,HG,HL,ACC,COD_PENAL,DPS_MOD,VELOCIDAD_MOD,ITV_MOD,INFRACCIONES,VEL_MOTORWA,VEL_RURAL,PTW_VKM,LIGEROS_VKM,PESADOS_VKM,EDAD_MEDIANA,GAS_PRECIO_CORR,GAS_PRECIO_CTE,RCE_MOTORWA,RCE_RURAL,RCE_TOTAL,RCE_PROP_MOTORWA,INV_CONS,INV_MAINT,INV_CONS_KM,INV_MAINT_KM,MAINT_T2_200,STOCK_T10_150,STOCK_T10_175,STOCK_T10_200,STOCK_T10_225,STOCK_T10_250,STOCK_T5_200,STO9_200,STO8_200,STO9_100,STO9_300,CAP10_200,CAP9_200,CAP8_200,CAP9_100,CAP9_300
1,2016,8775,23.5825,235.4,501616,41767,706672,709.8286051,211844,142079,353923,98.65718947,18539,99.66,0,0,10,9,0,0,0,0,55433,19.7,10.38,1,0,0,39.3,116.48,116.8773831,232.81,136.84,369.65,62.98119843,1925.790224,8264.744321,5.2097666,22.35829655,27177.25414,132482.804,129369.4387,126324.274,123345.9709,120433.2137,6387.984155,34255.83656,7909.176055,37013.09108,31705.62905,247450.5776,143643.4241,107322.3877,152162.6824,135651.6154
1,2017,8775,24.37,186,517328,42989,709340,729.3089351,213019,144136,357155,102.0179326,19788,101.69,0,1,25,18,0,0,0,0,48854,19.84,8.18,1,0,0,39.77,121.99,119.9626315,232.81,135.98,368.79,63.12806746,455.5803675,11334.28184,1.23533818,30.73370166,28666.72987,35529.13435,34769.56038,34026.30019,33299.03176,32587.43867,6517.037731,8206.572902,7896.479505,8519.816157,7907.233631,152560.4178,116965.8022,100015.189,123032.798,111247.095
1,2018,8775,22.5775,198.5,533067,44574,716820,743.655311,214970,146888,361858,104.9998703,19919,103.46,1,0,13,11,0,0,0,1,57600,19.78,8.07,1,0,0,40.19,128.21,123.9222888,233,136,369,63.14363144,912.6522973,7212.389864,2.473312459,19.54577199,26257.44651,9148.645039,9051.24379,8955.093741,8860.177891,8766.479468,6328.886063,8651.202212,7751.342317,9010.90608,8308.400895,122751.5283,106139.9274,89943.85778,111540.8592,101042.4309
2,2006,7440,15.3475,626.5,667732,54087,1207343,553.0590727,414841,241507,656348,84.31248223,17363,86.29,3,40,79,99,0,0,0,0,0,19.68,12,1,0,0,35.88,101.77,117.9395063,192,112,304,63.15789474,68724.10641,20348.88832,226.0661395,66.93713264,46148.19969,602281.2357,595356.2581,588540.0457,581830.8428,575226.9196,342339.6882,522320.0879,474127.2413,543168.6746,502563.3206,754883.6145,674643.1254,606592.9227,702299.7914,648436.238
2,2007,7440,15.02,444.8,706266,62815,1220467,578.6850443,419798,251317,671115,89.65744102,18029,88.75,7,32,135,123,0,0,0,0,63527,20.6,12.45,35.8,2495.8,234.5,36.3,103.53,116.6535211,211,109,320,65.9375,83129.77204,12342.02964,259.7805376,38.56884263,42830.88243,607744.7855,601327.2818,595003.4582,588771.8603,582631.0547,405662.9356,547774.4685,504223.4338,568591.0614,527991.1097,756622.0646,689932.8659,635470.3541,716933.2444,664266.6514
2,2008,7440,19.235,701.3,725475,69094,1230594,589.5323722,437926,265175,703101,94.10446017,18009,92.41,2,38,82,97,1,0,0,0,108573,18.92,9.54,27.4,2592.3,199.1,36.74,111.02,120.1385131,207,126,333,62.16216216,40484.44308,21174.15479,121.5749041,63.58605043,52812.41619,590163.7626,583688.5966,577303.4222,571006.8836,564797.6448,407251.0077,534623.4082,474139.0856,556148.9572,514116.2754,737792.8065,684419.5449,611844.8684,712345.9861,657826.8413
2,2009,7440,26.79,575.1,726401,72423,1236739,587.3518988,438464,269821,708285,94.4134719,16794,92.19,4,26,79,81,1,0,0,0,133287,15.71,12.23,33.5,2533.3,172.2,37.17,98.96,107.3435297,207,126,333,62.16216216,89028.0905,33530.77114,267.3516231,100.6930064,66134.72811,626104.7736,619486.9367,612959.0306,606519.7493,600167.8059,431565.2094,553684.3944,530748.0536,574007.0615,534224.3636,793290.0156,722166.8327,694795.7466,749058.2542,696460.8394
2,2010,7440,30.57,810.2,732890,75470,1243519,589.3677539,435892,272130,708022,95.59459269,16924,94.08,9,21,69,80,0,1,0,0,94841,17.08,12.3,36.3,2437.2,157.1,37.64,115.9,123.1930272,201,114,315,63.80952381,109988.4387,34876.31729,349.1696468,110.7184676,88072.13127,665267.9403,658894.2067,652599.1453,646381.7695,640241.1051,468842.999,630121.5313,617923.9362,653375.9441,607899.587,852588.252,825764.5877,798648.8735,856742.4894,796222.8906
2,2011,7436,32.525,443,736370,78741,1245164,591.3839462,439076,277612,716688,99.38407475,16752,96.94,4,15,91,82,0,1,1,0,90398,13.36,12.31,32.1,2212.4,149.7,38.11,132.5,136.682484,201,114,315,63.80952381,18239.3407,12127.66265,57.9026689,38.50051634,78509.4062,650231.9063,642948.7577,635758.4414,628659.7688,621651.5656,388431.6266,623804.7982,594831.9792,651850.5616,597113.5442,839616.2993,813042.8994,767513.6743,849129.1363,778720.1961
2,2012,7440,36.3775,502.7,734502,80527,1238492,593.061562,439742,281588,721330,100.806487,16066,99.31,2,9,56,57,0,1,0,0,105005,15.4,15.24,32.797791,2264.960961,134.30233,38.61,143.31,144.3057094,200.66,113.45,314.11,63.88207953,46926.65662,9851.27821,149.395615,31.36251062,55231.60273,675016.0326,666576.2904,658255.3588,650051.5745,641963.2956,366710.9247,629861.9962,576619.8296,660831.3441,600501.2315,853559.9762,808941.3357,734976.9405,848029.3623,771867.3327
